,Date,year,month,day,flow
1810,1984-06-03,1984,6,3,"17,7891"
2474,1984-06-04,1984,6,4,"17,7891"
3138,1984-06-05,1984,6,5,"17,3264"
3802,1984-06-06,1984,6,6,"17,3264"
4466,1984-06-07,1984,6,7,"17,3264"
5130,1984-06-08,1984,6,8,"17,3264"
5794,1984-06-09,1984,6,9,"17,3264"
6458,1984-06-10,1984,6,10,"16,8687"
7122,1984-06-11,1984,6,11,"16,8687"
7786,1984-06-12,1984,6,12,"16,8687"
8450,1984-06-13,1984,6,13,"16,416"
9114,1984-06-14,1984,6,14,"16,416"
9778,1984-06-15,1984,6,15,"15,9684"
10442,1984-06-16,1984,6,16,"15,9684"
11106,1984-06-17,1984,6,17,"15,9684"
11770,1984-06-18,1984,6,18,"15,526"
12434,1984-06-19,1984,6,19,"15,526"
13098,1984-06-20,1984,6,20,"15,526"
13762,1984-06-21,1984,6,21,"15,526"
14426,1984-06-22,1984,6,22,"15,0886"
15090,1984-06-23,1984,6,23,"15,0886"
15754,1984-06-24,1984,6,24,"15,0886"
16418,1984-06-25,1984,6,25,"15,0886"
17082,1984-06-26,1984,6,26,"14,6565"
17746,1984-06-27,1984,6,27,"14,6565"
18410,1984-06-28,1984,6,28,"14,6565"
19074,1984-06-29,1984,6,29,"14,6565"
19738,1984-06-30,1984,6,30,"14,6565"
481,1984-07-01,1984,7,1,"14,6565"
1145,1984-07-02,1984,7,2,"14,2295"
1809,1984-07-03,1984,7,3,"14,2295"
2473,1984-07-04,1984,7,4,"13,8077"
3137,1984-07-05,1984,7,5,"13,8077"
3801,1984-07-06,1984,7,6,"13,8077"
4465,1984-07-07,1984,7,7,"13,3912"
5129,1984-07-08,1984,7,8,"13,3912"
5793,1984-07-09,1984,7,9,"12,9799"
6457,1984-07-10,1984,7,10,"12,9799"
7121,1984-07-11,1984,7,11,"12,9799"
7785,1984-07-12,1984,7,12,"12,9799"
8449,1984-07-13,1984,7,13,"12,5739"
9113,1984-07-14,1984,7,14,"12,9799"
9777,1984-07-15,1984,7,15,"12,9799"
10441,1984-07-16,1984,7,16,"12,5739"
11105,1984-07-17,1984,7,17,"12,5739"
11769,1984-07-18,1984,7,18,"12,5739"
12433,1984-07-19,1984,7,19,"12,5739"
13097,1984-07-20,1984,7,20,"12,1733"
13761,1984-07-21,1984,7,21,"12,1733"
14425,1984-07-22,1984,7,22,"12,1733"
15089,1984-07-23,1984,7,23,"12,1733"
15753,1984-07-24,1984,7,24,"12,1733"
16417,1984-07-25,1984,7,25,"12,1733"
17081,1984-07-26,1984,7,26,"12,1733"
17745,1984-07-27,1984,7,27,"12,1733"
18409,1984-07-28,1984,7,28,"11,778"
19073,1984-07-29,1984,7,29,"11,778"
19737,1984-07-30,1984,7,30,"11,778"
20401,1984-07-31,1984,7,31,"11,778"
480,1984-08-01,1984,8,1,"11,3881"
1144,1984-08-02,1984,8,2,"11,3881"
1808,1984-08-03,1984,8,3,"11,3881"
2472,1984-08-04,1984,8,4,"11,3881"
3136,1984-08-05,1984,8,5,"11,0036"
3800,1984-08-06,1984,8,6,"10,6246"
4464,1984-08-07,1984,8,7,"10,6246"
5128,1984-08-08,1984,8,8,"10,6246"
5792,1984-08-09,1984,8,9,"10,251"
6456,1984-08-10,1984,8,10,"9,883"
7120,1984-08-11,1984,8,11,"9,883"
7784,1984-08-12,1984,8,12,"9,883"
8448,1984-08-13,1984,8,13,"9,5206"
9112,1984-08-14,1984,8,14,"9,5206"
9776,1984-08-15,1984,8,15,"9,5206"
10440,1984-08-16,1984,8,16,"9,5206"
11104,1984-08-17,1984,8,17,"9,5206"
11768,1984-08-18,1984,8,18,"9,5206"
12432,1984-08-19,1984,8,19,"9,5206"
13096,1984-08-20,1984,8,20,"11,3881"
13760,1984-08-21,1984,8,21,"19,69"
14424,1984-08-22,1984,8,22,"21,1674"
15088,1984-08-23,1984,8,23,"16,8687"
15752,1984-08-24,1984,8,24,"14,6565"
16416,1984-08-25,1984,8,25,"12,1733"
17080,1984-08-26,1984,8,26,"12,5739"
17744,1984-08-27,1984,8,27,"12,1733"
18408,1984-08-28,1984,8,28,"11,778"
19072,1984-08-29,1984,8,29,"11,3881"
19736,1984-08-30,1984,8,30,"11,0036"
20400,1984-08-31,1984,8,31,"11,778"
479,1984-09-01,1984,9,1,"12,5739"
1143,1984-09-02,1984,9,2,"11,3881"
1807,1984-09-03,1984,9,3,"10,6246"
2471,1984-09-04,1984,9,4,"9,883"
3135,1984-09-05,1984,9,5,"9,5206"
3799,1984-09-06,1984,9,6,"9,5206"
4463,1984-09-07,1984,9,7,"9,883"
5127,1984-09-08,1984,9,8,"10,6246"
5791,1984-09-09,1984,9,9,"13,8077"
6455,1984-09-10,1984,9,10,"12,1733"
7119,1984-09-11,1984,9,11,"10,251"
7783,1984-09-12,1984,9,12,"9,5206"
8447,1984-09-13,1984,9,13,"9,1637"
9111,1984-09-14,1984,9,14,"9,1637"
9775,1984-09-15,1984,9,15,"8,8125"
10439,1984-09-16,1984,9,16,"9,1637"
11103,1984-09-17,1984,9,17,"12,5739"
11767,1984-09-18,1984,9,18,"13,3912"
12431,1984-09-19,1984,9,19,"10,251"
13095,1984-09-20,1984,9,20,"9,1637"
13759,1984-09-21,1984,9,21,"11,0036"
14423,1984-09-22,1984,9,22,"11,778"
15087,1984-09-23,1984,9,23,"10,251"
15751,1984-09-24,1984,9,24,"9,5206"
16415,1984-09-25,1984,9,25,"9,5206"
17079,1984-09-26,1984,9,26,"8,1271"
17743,1984-09-27,1984,9,27,"9,5206"
18407,1984-09-28,1984,9,28,"9,883"
19071,1984-09-29,1984,9,29,"9,1637"
19735,1984-09-30,1984,9,30,"8,1271"
478,1984-10-01,1984,10,1,"7,793"
1142,1984-10-02,1984,10,2,"7,4647"
1806,1984-10-03,1984,10,3,"7,1422"
2470,1984-10-04,1984,10,4,"7,1422"
3134,1984-10-05,1984,10,5,"6,8257"
3798,1984-10-06,1984,10,6,"6,515"
4462,1984-10-07,1984,10,7,"6,515"
5126,1984-10-08,1984,10,8,"6,2104"
5790,1984-10-09,1984,10,9,"6,2104"
6454,1984-10-10,1984,10,10,"6,2104"
7118,1984-10-11,1984,10,11,"7,1422"
7782,1984-10-12,1984,10,12,"7,1422"
8446,1984-10-13,1984,10,13,"6,515"
9110,1984-10-14,1984,10,14,"6,2104"
9774,1984-10-15,1984,10,15,"6,2104"
10438,1984-10-16,1984,10,16,"7,793"
11102,1984-10-17,1984,10,17,"8,1271"
11766,1984-10-18,1984,10,18,"8,8125"
12430,1984-10-19,1984,10,19,"21,6696"
13094,1984-10-20,1984,10,20,"23,2052"
13758,1984-10-21,1984,10,21,"20,1775"
14422,1984-10-22,1984,10,22,"11,0036"
15086,1984-10-23,1984,10,23,"9,5206"
15750,1984-10-24,1984,10,24,"8,8125"
16414,1984-10-25,1984,10,25,"9,883"
17078,1984-10-26,1984,10,26,"9,5206"
17742,1984-10-27,1984,10,27,"8,4669"
18406,1984-10-28,1984,10,28,"7,4647"
19070,1984-10-29,1984,10,29,"7,1422"
19734,1984-10-30,1984,10,30,"6,8257"
20398,1984-10-31,1984,10,31,"6,2104"
477,1984-11-01,1984,11,1,"6,2104"
1141,1984-11-02,1984,11,2,"5,9117"
1805,1984-11-03,1984,11,3,"5,6192"
2469,1984-11-04,1984,11,4,"5,3328"
3133,1984-11-05,1984,11,5,"5,0526"
3797,1984-11-06,1984,11,6,"5,0526"
4461,1984-11-07,1984,11,7,"4,7787"
5125,1984-11-08,1984,11,8,"4,7787"
5789,1984-11-09,1984,11,9,"4,7787"
6453,1984-11-10,1984,11,10,"4,7787"
7117,1984-11-11,1984,11,11,"5,3328"
7781,1984-11-12,1984,11,12,"6,8257"
8445,1984-11-13,1984,11,13,"8,4669"
9109,1984-11-14,1984,11,14,"9,5206"
9773,1984-11-15,1984,11,15,"7,793"
10437,1984-11-16,1984,11,16,"7,4647"
11101,1984-11-17,1984,11,17,"7,1422"
11765,1984-11-18,1984,11,18,"11,778"
12429,1984-11-19,1984,11,19,"12,1733"
13093,1984-11-20,1984,11,20,"9,1637"
13757,1984-11-21,1984,11,21,"8,4669"
14421,1984-11-22,1984,11,22,"8,8125"
15085,1984-11-23,1984,11,23,"10,6246"
15749,1984-11-24,1984,11,24,"11,0036"
16413,1984-11-25,1984,11,25,"11,778"
17077,1984-11-26,1984,11,26,"11,0036"
17741,1984-11-27,1984,11,27,"14,6565"
18405,1984-11-28,1984,11,28,"10,251"
19069,1984-11-29,1984,11,29,"8,4669"
19733,1984-11-30,1984,11,30,"8,4669"
476,1984-12-01,1984,12,1,"7,793"
1140,1984-12-02,1984,12,2,"7,793"
1804,1984-12-03,1984,12,3,"8,8125"
2468,1984-12-04,1984,12,4,"11,0036"
3132,1984-12-05,1984,12,5,"15,526"
3796,1984-12-06,1984,12,6,"12,1733"
4460,1984-12-07,1984,12,7,"11,0036"
5124,1984-12-08,1984,12,8,"11,3881"
5788,1984-12-09,1984,12,9,"12,9799"
6452,1984-12-10,1984,12,10,"13,3912"
7116,1984-12-11,1984,12,11,"12,1733"
7780,1984-12-12,1984,12,12,"12,1733"
8444,1984-12-13,1984,12,13,"12,9799"
9108,1984-12-14,1984,12,14,"16,416"
9772,1984-12-15,1984,12,15,"16,8687"
10436,1984-12-16,1984,12,16,"13,8077"
11100,1984-12-17,1984,12,17,"15,0886"
11764,1984-12-18,1984,12,18,"12,5739"
12428,1984-12-19,1984,12,19,"12,5739"
13092,1984-12-20,1984,12,20,"11,778"
13756,1984-12-21,1984,12,21,"9,883"
14420,1984-12-22,1984,12,22,"8,8125"
15084,1984-12-23,1984,12,23,"8,4669"
15748,1984-12-24,1984,12,24,"8,4669"
16412,1984-12-25,1984,12,25,"13,8077"
17076,1984-12-26,1984,12,26,"12,1733"
17740,1984-12-27,1984,12,27,"15,0886"
18404,1984-12-28,1984,12,28,"11,778"
19068,1984-12-29,1984,12,29,"18,2569"
19732,1984-12-30,1984,12,30,"22,1766"
20396,1984-12-31,1984,12,31,"15,526"
475,1985-01-01,1985,1,1,"18,7296"
1139,1985-01-02,1985,1,2,"15,0886"
1803,1985-01-03,1985,1,3,"15,0886"
2467,1985-01-04,1985,1,4,"13,3912"
3131,1985-01-05,1985,1,5,"11,778"
3795,1985-01-06,1985,1,6,"11,3881"
4459,1985-01-07,1985,1,7,"11,0036"
5123,1985-01-08,1985,1,8,"12,1733"
5787,1985-01-09,1985,1,9,"14,6565"
6451,1985-01-10,1985,1,10,"16,416"
7115,1985-01-11,1985,1,11,"15,0886"
7779,1985-01-12,1985,1,12,"12,1733"
8443,1985-01-13,1985,1,13,"18,2569"
9107,1985-01-14,1985,1,14,"24,7838"
9771,1985-01-15,1985,1,15,"25,8599"
10435,1985-01-16,1985,1,16,"23,7266"
11099,1985-01-17,1985,1,17,"29,2001"
11763,1985-01-18,1985,1,18,"29,773"
12427,1985-01-19,1985,1,19,"41,5101"
13091,1985-01-20,1985,1,20,"56,2936"
13755,1985-01-21,1985,1,21,"35,1329"
14419,1985-01-22,1985,1,22,"35,7508"
15083,1985-01-23,1985,1,23,"37,0"
15747,1985-01-24,1985,1,24,"30,9324"
16411,1985-01-25,1985,1,25,"31,519"
17075,1985-01-26,1985,1,26,"35,7508"
17739,1985-01-27,1985,1,27,"30,9324"
18403,1985-01-28,1985,1,28,"30,9324"
19067,1985-01-29,1985,1,29,"35,1329"
19731,1985-01-30,1985,1,30,"49,0231"
20395,1985-01-31,1985,1,31,"54,0691"
474,1985-02-01,1985,2,1,"42,1718"
1138,1985-02-02,1985,2,2,"31,519"
1802,1985-02-03,1985,2,3,"33,9103"
2466,1985-02-04,1985,2,4,"30,9324"
3130,1985-02-05,1985,2,5,"26,4049"
3794,1985-02-06,1985,2,6,"25,3195"
4458,1985-02-07,1985,2,7,"24,2528"
5122,1985-02-08,1985,2,8,"25,3195"
5786,1985-02-09,1985,2,9,"25,8599"
6450,1985-02-10,1985,2,10,"29,2001"
7114,1985-02-11,1985,2,11,"28,0682"
7778,1985-02-12,1985,2,12,"26,4049"
8442,1985-02-13,1985,2,13,"24,7838"
9106,1985-02-14,1985,2,14,"23,7266"
9770,1985-02-15,1985,2,15,"22,6885"
10434,1985-02-16,1985,2,16,"22,1766"
11098,1985-02-17,1985,2,17,"22,1766"
11762,1985-02-18,1985,2,18,"22,1766"
12426,1985-02-19,1985,2,19,"23,2052"
13090,1985-02-20,1985,2,20,"25,8599"
13754,1985-02-21,1985,2,21,"23,2052"
14418,1985-02-22,1985,2,22,"21,1674"
15082,1985-02-23,1985,2,23,"23,2052"
15746,1985-02-24,1985,2,24,"29,2001"
16410,1985-02-25,1985,2,25,"27,5091"
17074,1985-02-26,1985,2,26,"23,7266"
17738,1985-02-27,1985,2,27,"32,7056"
18402,1985-02-28,1985,2,28,"46,9232"
473,1985-03-01,1985,3,1,"49,0231"
1137,1985-03-02,1985,3,2,"47,619"
1801,1985-03-03,1985,3,3,"44,8614"
2465,1985-03-04,1985,3,4,"42,1718"
3129,1985-03-05,1985,3,5,"54,8064"
3793,1985-03-06,1985,3,6,"48,319"
4457,1985-03-07,1985,3,7,"51,1607"
5121,1985-03-08,1985,3,8,"39,5511"
5785,1985-03-09,1985,3,9,"35,7508"
6449,1985-03-10,1985,3,10,"36,3732"
7113,1985-03-11,1985,3,11,"40,1998"
7777,1985-03-12,1985,3,12,"52,6066"
8441,1985-03-13,1985,3,13,"44,1826"
9105,1985-03-14,1985,3,14,"42,1718"
9769,1985-03-15,1985,3,15,"35,7508"
10433,1985-03-16,1985,3,16,"33,9103"
11097,1985-03-17,1985,3,17,"31,519"
11761,1985-03-18,1985,3,18,"52,6066"
12425,1985-03-19,1985,3,19,"75,3938"
13089,1985-03-20,1985,3,20,"54,0691"
13753,1985-03-21,1985,3,21,"44,1826"
14417,1985-03-22,1985,3,22,"42,1718"
15081,1985-03-23,1985,3,23,"42,1718"
15745,1985-03-24,1985,3,24,"38,9068"
16409,1985-03-25,1985,3,25,"35,7508"
17073,1985-03-26,1985,3,26,"37,0"
17737,1985-03-27,1985,3,27,"37,6312"
18401,1985-03-28,1985,3,28,"35,7508"
19065,1985-03-29,1985,3,29,"41,5101"
19729,1985-03-30,1985,3,30,"42,8378"
20393,1985-03-31,1985,3,31,"40,8528"
472,1985-04-01,1985,4,1,"47,619"
1136,1985-04-02,1985,4,2,"40,8528"
1800,1985-04-03,1985,4,3,"35,7508"
2464,1985-04-04,1985,4,4,"45,5444"
3128,1985-04-05,1985,4,5,"38,2668"
3792,1985-04-06,1985,4,6,"35,1329"
4456,1985-04-07,1985,4,7,"33,9103"
5120,1985-04-08,1985,4,8,"33,9103"
5784,1985-04-09,1985,4,9,"35,7508"
6448,1985-04-10,1985,4,10,"35,1329"
7112,1985-04-11,1985,4,11,"35,7508"
7776,1985-04-12,1985,4,12,"40,1998"
8440,1985-04-13,1985,4,13,"35,7508"
9104,1985-04-14,1985,4,14,"44,8614"
9768,1985-04-15,1985,4,15,"49,7315"
10432,1985-04-16,1985,4,16,"39,5511"
11096,1985-04-17,1985,4,17,"34,5194"
11760,1985-04-18,1985,4,18,"37,6312"
12424,1985-04-19,1985,4,19,"43,508"
13088,1985-04-20,1985,4,20,"41,5101"
13752,1985-04-21,1985,4,21,"43,508"
14416,1985-04-22,1985,4,22,"41,5101"
15080,1985-04-23,1985,4,23,"35,1329"
15744,1985-04-24,1985,4,24,"32,7056"
16408,1985-04-25,1985,4,25,"32,7056"
17072,1985-04-26,1985,4,26,"33,9103"
17736,1985-04-27,1985,4,27,"33,9103"
18400,1985-04-28,1985,4,28,"32,7056"
19064,1985-04-29,1985,4,29,"31,519"
19728,1985-04-30,1985,4,30,"30,9324"
471,1985-05-01,1985,5,1,"30,9324"
1135,1985-05-02,1985,5,2,"31,519"
1799,1985-05-03,1985,5,3,"30,9324"
2463,1985-05-04,1985,5,4,"30,3504"
3127,1985-05-05,1985,5,5,"29,773"
3791,1985-05-06,1985,5,6,"29,2001"
4455,1985-05-07,1985,5,7,"28,6318"
5119,1985-05-08,1985,5,8,"28,6318"
5783,1985-05-09,1985,5,9,"28,0682"
6447,1985-05-10,1985,5,10,"28,0682"
7111,1985-05-11,1985,5,11,"28,6318"
7775,1985-05-12,1985,5,12,"28,6318"
8439,1985-05-13,1985,5,13,"28,6318"
9103,1985-05-14,1985,5,14,"27,5091"
9767,1985-05-15,1985,5,15,"27,5091"
10431,1985-05-16,1985,5,16,"26,9547"
11095,1985-05-17,1985,5,17,"26,9547"
11759,1985-05-18,1985,5,18,"26,4049"
12423,1985-05-19,1985,5,19,"26,4049"
13087,1985-05-20,1985,5,20,"25,8599"
13751,1985-05-21,1985,5,21,"25,8599"
14415,1985-05-22,1985,5,22,"25,8599"
15079,1985-05-23,1985,5,23,"25,8599"
15743,1985-05-24,1985,5,24,"25,3195"
16407,1985-05-25,1985,5,25,"25,3195"
17071,1985-05-26,1985,5,26,"25,3195"
17735,1985-05-27,1985,5,27,"24,7838"
18399,1985-05-28,1985,5,28,"24,7838"
19063,1985-05-29,1985,5,29,"24,2528"
19727,1985-05-30,1985,5,30,"24,2528"
20391,1985-05-31,1985,5,31,"24,2528"
470,1985-06-01,1985,6,1,"23,7266"
1134,1985-06-02,1985,6,2,"23,7266"
1798,1985-06-03,1985,6,3,"23,7266"
2462,1985-06-04,1985,6,4,"25,3195"
3126,1985-06-05,1985,6,5,"25,3195"
3790,1985-06-06,1985,6,6,"24,2528"
4454,1985-06-07,1985,6,7,"23,7266"
5118,1985-06-08,1985,6,8,"23,7266"
5782,1985-06-09,1985,6,9,"23,2052"
6446,1985-06-10,1985,6,10,"23,2052"
7110,1985-06-11,1985,6,11,"23,2052"
7774,1985-06-12,1985,6,12,"23,2052"
8438,1985-06-13,1985,6,13,"23,2052"
9102,1985-06-14,1985,6,14,"23,2052"
9766,1985-06-15,1985,6,15,"22,6885"
10430,1985-06-16,1985,6,16,"22,6885"
11094,1985-06-17,1985,6,17,"22,6885"
11758,1985-06-18,1985,6,18,"22,1766"
12422,1985-06-19,1985,6,19,"22,1766"
13086,1985-06-20,1985,6,20,"22,1766"
13750,1985-06-21,1985,6,21,"21,6696"
14414,1985-06-22,1985,6,22,"21,6696"
15078,1985-06-23,1985,6,23,"21,6696"
15742,1985-06-24,1985,6,24,"21,6696"
16406,1985-06-25,1985,6,25,"21,1674"
17070,1985-06-26,1985,6,26,"21,1674"
17734,1985-06-27,1985,6,27,"21,1674"
18398,1985-06-28,1985,6,28,"21,1674"
19062,1985-06-29,1985,6,29,"20,67"
19726,1985-06-30,1985,6,30,"20,67"
469,1985-07-01,1985,7,1,"20,67"
1133,1985-07-02,1985,7,2,"20,1775"
1797,1985-07-03,1985,7,3,"20,1775"
2461,1985-07-04,1985,7,4,"20,1775"
3125,1985-07-05,1985,7,5,"20,1775"
3789,1985-07-06,1985,7,6,"21,1674"
4453,1985-07-07,1985,7,7,"21,6696"
5117,1985-07-08,1985,7,8,"21,1674"
5781,1985-07-09,1985,7,9,"20,1775"
6445,1985-07-10,1985,7,10,"20,1775"
7109,1985-07-11,1985,7,11,"19,69"
7773,1985-07-12,1985,7,12,"19,69"
8437,1985-07-13,1985,7,13,"19,69"
9101,1985-07-14,1985,7,14,"19,2073"
9765,1985-07-15,1985,7,15,"19,2073"
10429,1985-07-16,1985,7,16,"19,2073"
11093,1985-07-17,1985,7,17,"19,2073"
11757,1985-07-18,1985,7,18,"18,7296"
12421,1985-07-19,1985,7,19,"18,2569"
13085,1985-07-20,1985,7,20,"18,2569"
13749,1985-07-21,1985,7,21,"18,2569"
14413,1985-07-22,1985,7,22,"18,2569"
15077,1985-07-23,1985,7,23,"17,7891"
15741,1985-07-24,1985,7,24,"17,7891"
16405,1985-07-25,1985,7,25,"17,7891"
17069,1985-07-26,1985,7,26,"17,3264"
17733,1985-07-27,1985,7,27,"17,3264"
18397,1985-07-28,1985,7,28,"17,3264"
19061,1985-07-29,1985,7,29,"17,3264"
19725,1985-07-30,1985,7,30,"17,3264"
20389,1985-07-31,1985,7,31,"17,3264"
468,1985-08-01,1985,8,1,"17,3264"
1132,1985-08-02,1985,8,2,"16,8687"
1796,1985-08-03,1985,8,3,"16,416"
2460,1985-08-04,1985,8,4,"16,416"
3124,1985-08-05,1985,8,5,"15,9684"
3788,1985-08-06,1985,8,6,"15,9684"
4452,1985-08-07,1985,8,7,"15,9684"
5116,1985-08-08,1985,8,8,"15,9684"
5780,1985-08-09,1985,8,9,"15,526"
6444,1985-08-10,1985,8,10,"15,526"
7108,1985-08-11,1985,8,11,"15,526"
7772,1985-08-12,1985,8,12,"15,526"
8436,1985-08-13,1985,8,13,"15,0886"
9100,1985-08-14,1985,8,14,"15,0886"
9764,1985-08-15,1985,8,15,"15,0886"
10428,1985-08-16,1985,8,16,"15,0886"
11092,1985-08-17,1985,8,17,"15,0886"
11756,1985-08-18,1985,8,18,"15,0886"
12420,1985-08-19,1985,8,19,"15,0886"
13084,1985-08-20,1985,8,20,"14,6565"
13748,1985-08-21,1985,8,21,"14,6565"
14412,1985-08-22,1985,8,22,"14,6565"
15076,1985-08-23,1985,8,23,"14,6565"
15740,1985-08-24,1985,8,24,"14,2295"
16404,1985-08-25,1985,8,25,"14,2295"
17068,1985-08-26,1985,8,26,"14,2295"
17732,1985-08-27,1985,8,27,"13,8077"
18396,1985-08-28,1985,8,28,"13,8077"
19060,1985-08-29,1985,8,29,"13,8077"
19724,1985-08-30,1985,8,30,"13,8077"
20388,1985-08-31,1985,8,31,"13,8077"
467,1985-09-01,1985,9,1,"13,8077"
1131,1985-09-02,1985,9,2,"15,0886"
1795,1985-09-03,1985,9,3,"15,9684"
2459,1985-09-04,1985,9,4,"14,2295"
3123,1985-09-05,1985,9,5,"13,8077"
3787,1985-09-06,1985,9,6,"13,8077"
4451,1985-09-07,1985,9,7,"14,2295"
5115,1985-09-08,1985,9,8,"13,3912"
5779,1985-09-09,1985,9,9,"12,9799"
6443,1985-09-10,1985,9,10,"12,5739"
7107,1985-09-11,1985,9,11,"12,5739"
7771,1985-09-12,1985,9,12,"12,1733"
8435,1985-09-13,1985,9,13,"12,1733"
9099,1985-09-14,1985,9,14,"12,1733"
9763,1985-09-15,1985,9,15,"11,778"
10427,1985-09-16,1985,9,16,"11,3881"
11091,1985-09-17,1985,9,17,"11,3881"
11755,1985-09-18,1985,9,18,"11,3881"
12419,1985-09-19,1985,9,19,"11,3881"
13083,1985-09-20,1985,9,20,"11,0036"
13747,1985-09-21,1985,9,21,"13,3912"
14411,1985-09-22,1985,9,22,"14,2295"
15075,1985-09-23,1985,9,23,"12,9799"
15739,1985-09-24,1985,9,24,"12,9799"
16403,1985-09-25,1985,9,25,"12,1733"
17067,1985-09-26,1985,9,26,"12,1733"
17731,1985-09-27,1985,9,27,"11,778"
18395,1985-09-28,1985,9,28,"11,3881"
19059,1985-09-29,1985,9,29,"11,778"
19723,1985-09-30,1985,9,30,"11,778"
466,1985-10-01,1985,10,1,"11,778"
1130,1985-10-02,1985,10,2,"11,3881"
1794,1985-10-03,1985,10,3,"11,0036"
2458,1985-10-04,1985,10,4,"10,6246"
3122,1985-10-05,1985,10,5,"10,6246"
3786,1985-10-06,1985,10,6,"11,0036"
4450,1985-10-07,1985,10,7,"12,9799"
5114,1985-10-08,1985,10,8,"14,2295"
5778,1985-10-09,1985,10,9,"13,8077"
6442,1985-10-10,1985,10,10,"20,1775"
7106,1985-10-11,1985,10,11,"21,1674"
7770,1985-10-12,1985,10,12,"16,416"
8434,1985-10-13,1985,10,13,"14,6565"
9098,1985-10-14,1985,10,14,"13,8077"
9762,1985-10-15,1985,10,15,"12,5739"
10426,1985-10-16,1985,10,16,"12,1733"
11090,1985-10-17,1985,10,17,"15,526"
11754,1985-10-18,1985,10,18,"14,2295"
12418,1985-10-19,1985,10,19,"12,1733"
13082,1985-10-20,1985,10,20,"11,0036"
13746,1985-10-21,1985,10,21,"11,3881"
14410,1985-10-22,1985,10,22,"13,8077"
15074,1985-10-23,1985,10,23,"13,3912"
15738,1985-10-24,1985,10,24,"12,1733"
16402,1985-10-25,1985,10,25,"11,3881"
17066,1985-10-26,1985,10,26,"9,1637"
17730,1985-10-27,1985,10,27,"17,3264"
18394,1985-10-28,1985,10,28,"13,8077"
19058,1985-10-29,1985,10,29,"15,9684"
19722,1985-10-30,1985,10,30,"15,526"
20386,1985-10-31,1985,10,31,"12,9799"
465,1985-11-01,1985,11,1,"14,2295"
1129,1985-11-02,1985,11,2,"12,9799"
1793,1985-11-03,1985,11,3,"19,2073"
2457,1985-11-04,1985,11,4,"21,1674"
3121,1985-11-05,1985,11,5,"25,8599"
3785,1985-11-06,1985,11,6,"21,1674"
4449,1985-11-07,1985,11,7,"15,9684"
5113,1985-11-08,1985,11,8,"15,0886"
5777,1985-11-09,1985,11,9,"13,3912"
6441,1985-11-10,1985,11,10,"12,1733"
7105,1985-11-11,1985,11,11,"11,0036"
7769,1985-11-12,1985,11,12,"11,3881"
8433,1985-11-13,1985,11,13,"10,6246"
9097,1985-11-14,1985,11,14,"10,251"
9761,1985-11-15,1985,11,15,"9,1637"
10425,1985-11-16,1985,11,16,"8,8125"
11089,1985-11-17,1985,11,17,"8,4669"
11753,1985-11-18,1985,11,18,"8,1271"
12417,1985-11-19,1985,11,19,"8,4669"
13081,1985-11-20,1985,11,20,"8,4669"
13745,1985-11-21,1985,11,21,"8,4669"
14409,1985-11-22,1985,11,22,"9,5206"
15073,1985-11-23,1985,11,23,"9,1637"
15737,1985-11-24,1985,11,24,"11,0036"
16401,1985-11-25,1985,11,25,"25,3195"
17065,1985-11-26,1985,11,26,"27,5091"
17729,1985-11-27,1985,11,27,"34,5194"
18393,1985-11-28,1985,11,28,"23,7266"
19057,1985-11-29,1985,11,29,"24,7838"
19721,1985-11-30,1985,11,30,"30,9324"
464,1985-12-01,1985,12,1,"18,7296"
1128,1985-12-02,1985,12,2,"15,0886"
1792,1985-12-03,1985,12,3,"15,0886"
2456,1985-12-04,1985,12,4,"22,6885"
3120,1985-12-05,1985,12,5,"20,67"
3784,1985-12-06,1985,12,6,"15,0886"
4448,1985-12-07,1985,12,7,"13,8077"
5112,1985-12-08,1985,12,8,"12,9799"
5776,1985-12-09,1985,12,9,"12,1733"
6440,1985-12-10,1985,12,10,"11,778"
7104,1985-12-11,1985,12,11,"11,3881"
7768,1985-12-12,1985,12,12,"11,3881"
8432,1985-12-13,1985,12,13,"10,6246"
9096,1985-12-14,1985,12,14,"10,6246"
9760,1985-12-15,1985,12,15,"13,3912"
10424,1985-12-16,1985,12,16,"16,416"
11088,1985-12-17,1985,12,17,"23,2052"
11752,1985-12-18,1985,12,18,"15,526"
12416,1985-12-19,1985,12,19,"13,8077"
13080,1985-12-20,1985,12,20,"14,2295"
13744,1985-12-21,1985,12,21,"12,9799"
14408,1985-12-22,1985,12,22,"19,69"
15072,1985-12-23,1985,12,23,"23,7266"
15736,1985-12-24,1985,12,24,"22,1766"
16400,1985-12-25,1985,12,25,"24,2528"
17064,1985-12-26,1985,12,26,"24,7838"
17728,1985-12-27,1985,12,27,"29,2001"
18392,1985-12-28,1985,12,28,"29,2001"
19056,1985-12-29,1985,12,29,"18,7296"
19720,1985-12-30,1985,12,30,"17,3264"
20384,1985-12-31,1985,12,31,"17,3264"
463,1986-01-01,1986,1,1,"21,1674"
1127,1986-01-02,1986,1,2,"37,6312"
1791,1986-01-03,1986,1,3,"38,2668"
2455,1986-01-04,1986,1,4,"22,6885"
3119,1986-01-05,1986,1,5,"19,69"
3783,1986-01-06,1986,1,6,"38,2668"
4447,1986-01-07,1986,1,7,"53,3358"
5111,1986-01-08,1986,1,8,"46,2317"
5775,1986-01-09,1986,1,9,"31,519"
6439,1986-01-10,1986,1,10,"23,7266"
